,en,it,es,bg,tr,nl,estonian
KEY_15A,"Regular backups, testing, and offsite storage","Backup frequenti, testing, archiviazione off-site","Backups regulares, testing y almacenamiento externo","Редовно архивиране, тестване и съхранение извън сайта","Düzenli yedeklemeler, testler ve tesis dışı depolama","Regelmatige back-ups, testen en off-site opslag","Regulaarsed varukoopiad, testimine ja väljaspool saiti salvestamine"
KEY_16,What considerations are crucial when designing a secure network architecture?,"Cosa è cruciale nella progettazione di architetture di rete sicure?
",¿Qué hay que tener en cuenta al diseñar una arquitectura de red segura?,Какви съображения са от решаващи при проектирането на сигурна мрежова архитектура?,Güvenli bir ağ mimarisi tasarlarken hangi hususlar çok önemlidir?,Welke zaken zijn cruciaal bij het ontwerp van een veilige netwerk?,Millised kaalutlused on turvalise võrguarhitektuuri kavandamisel üliolulised?
KEY_16A,"Segmentation, encryption, and access controls","Segmentazione, crittografia, controlli accesso
","Segmentación, encripción y control de acceso","Сегментиране, криптиране и контрол на достъпа","Segmentasyon, şifreleme ve erişim kontrolleri","Segmentatie, versleuteling en toegangscontrole","Segmenteerimine, krüpteerimine ja juurdepääsu juhtelemendid"
KEY_17,How does secure coding practices contribute to secure system design?,Come contribuiscono le pratiche di secure coding alla progettazione sicura di un sistema?,¿Cómo contribuye la programación segura a un diseño seguro de sistema?,Как практиките за secure coding допринасят за сигурното проектиране на системата?,Güvenli kodlama uygulamaları güvenli sistem tasarımına nasıl katkıda bulunur?,Hoe dragen veilige coderingen bij aan een veilig systeemontwerp?,Kuidas aitavad turvalised kodeerimistavad turvalisele süsteemikujundusele kaasa?
KEY_17A,Minimizes vulnerabilities and potential exploits,"Minimizzano vulnerabilità e potenziali exploit
",Minimiza las vulnerabilidades posibles,Минимизира уязвимостите и потенциалните експлойти,Güvenlik açıklarını ve potansiyel istismarları en aza indirir,Minimaliseert kwetsbaarheden en potentiële misbruiken,Minimeerib haavatavusi ja potentsiaalseid ärakasutusi
KEY_18,What role does encryption play in secure system architecture?,Che ruolo gioca la crittografia nell'architettura del sistema sicuro?,¿Qué papel tiene la encripción en la arquitectura de sistema segura?,Каква роля играе криптирането в сигурната системна архитектура?,Güvenli sistem mimarisinde şifrelemenin rolü nedir?,Welke rol speelt encryptie in een veilige systeemarchitectuur?,Millist rolli mängib krüpteerimine turvalises süsteemiarhitektuuris?
KEY_18A,Protects data confidentiality,Protegge la confidenzialità dei dati,Protege la confidencialidad de los datos,Защитава поверителността на данните,Veri güvenliğini korumak,Beschermt de vertrouwelijkheid van gegevens,Kaitseb andmete konfidentsiaalsust
KEY_19,What distinguishes a vulnerability from an exploit?,Qual'è la differenza tra vulnerabilità ed exploit?,¿Qué distingue una vulnerabilidad de una explotación?,Какво отличава уязвимостта от експлойта?,Bir güvenlik açığını bir istismardan ayıran nedir?,Wat onderscheidt kwetsbaarheid van uitbuiting?,Mis eristab haavatavust ärakasutamisest?
KEY_19A,"Vulnerability is a weakness, exploit is a way to leverage it","Vulnerabilità è una debolezza, exploit ne fa leva
","La vulnerabilidad es una debilidad, y la explotación es cómo aprovecharla","Уязвимостта е слабост, а експлойтът е начин тя да бъде използвана","Güvenlik açığı bir zayıflıktır, istismar ise bundan faydalanmanın bir yoludur","Kwetsbaarheid is een zwakte, uitbuiting is het gebruik van de zwakte.","Haavatavus on nõrkus, ärakasutamine on viis selle võimendamiseks"
KEY_20,How does SQL injection pose a threat to web applications?,"Come minaccia le app web l'SQL injection?
",¿Cómo amenaza la inyección SQL a una aplicación web?,Как SQL инжектирането представлява заплаха за уеб приложенията?,SQL enjeksiyonu web uygulamaları için nasıl bir tehdit oluşturur?,Hoe vormt SQL-injectie een bedreiging voor webapplicaties?,Kuidas SQL-i süstimine veebirakendustele ohtu kujutab?
KEY_20A,Manipulates SQL queries to access or modify data,"Manipola query SQL per accedere/modificare dati
",Manipula las consultas SQL para acceder o modificar datos,Манипулира SQL заявки с цел получаване на достъп или промяна на данни,Verilere erişmek veya verileri değiştirmek için SQL sorgularını yönetir,Manipuleert SQL-query's om gegevens te openen of te wijzigen.,Manipuleerib SQL päringutega andmetele juurde pääsemiseks või andmete muutmiseks
KEY_21,What is the purpose of a brute-force attack?,"Scopo di un attacco a forza bruta?
",¿Qué intención tiene un ataque fuerza bruta?,Каква е целта на brute-force атаката?,Kaba kuvvet saldırısının amacı nedir?,Wat is het doel van een brute force aanval?,Mis on toore jõuga rünnaku eesmärk?
KEY_21A,Trying numerous combinations to guess passwords,"Provare numerose combinazioni per indovinare password
",Probar combinaciones de contraseñas para conseguir el correcto,Изпробване на множество комбинации за отгатване на пароли,Şifreleri tahmin etmek için çok sayıda kombinasyon denemek,Er worden meerdere pogingen gedaan om wachtwoorden te raden,Paroolide äraarvamiseks proovitakse mitmeid kombinatsioone
KEY_22,"How does a smishing attack operate, and what are its risks?",Come funziona un attacco di smishing e quali sono i rischi?,¿Cómo opera un ataque de smishing?,Как действа smishing атаката и какви са нейните рискове?,Bir smishing saldırısı nasıl çalışır ve riskleri nelerdir?,Hoe werkt de aanval en wat zijn de risico's?,Kuidas rünnak toimib ja millised on sellega kaasnevad riskid?
KEY_22A,"Phishing via SMS, posing security threats to mobile users","Phishing tramite SMS, minaccia utenti mobili
","Phishing a través de SMS, siendo una amenaza a usuarios móbiles","Фишинг чрез SMS, представляващ заплаха за сигурността на мобилните потребители","SMS yoluyla kimlik avı, mobil kullanıcılara güvenlik tehdidi oluşturma",Gegevenshandel via sms/veiligheidsrisico voor mobiele gebruikers,"Andmepüügi SMS-i kaudu, mis kujutab mobiilikasutajatele turvaohtu"
KEY_23,What is pharming?,"Cosa è il pharming?
",¿Qué es el pharming?,Какво е pharming?,Pharming nedir?,Wat is pharming?,Mis on pharming?
KEY_23A,Redirection of legitimate web traffic to fraudulent sites,"Una tecnica per reindirizzare traffico web verso siti fraudolenti
",Redirección de tráfico web legítimo a sitios web fraudulentos,Пренасочване на legitimate уеб трафик към измамни сайтове,Meşru web trafiğinin sahte sitelere yönlendirilmesi,Legitiem webverkeer omleiden naar malafide sites,Õiguspärase veebiliikluse ümbersuunamine petturlikele saitidele
KEY_24,How do organizations maintain compliance with evolving regulations?,In che modo le organizzazioni mantengono la conformità alle normative in evoluzione?,¿Cómo mantienen las organizaciones una complicidad con las regulaciones evolucionantes?,Как организациите поддържат съответствие с развиващите се разпоредби?,Kuruluşlar gelişen düzenlemelere uyumu nasıl sürdürüyor?,Hoe voldoen organisaties aan de veranderende regelgeving?,Kuidas organisatsioonid järgivad arenevaid määrusi?
KEY_24A,Regular updates and audits for adherence,Aggiornamenti e controlli regolari per l'aderenza,Actualizaciones y auditorias regulares,Редовни актуализации на пракриките и одити в тази връзка,Uyum için düzenli güncellemeler ve denetimler,Regelmatige updates en audits om naleving te garanderen,Regulaarsed uuendused ja auditid järgimise tagamiseks
KEY_25,Why implement access controls in architecture?,Perché implementare i controlli di accesso nell' architettura di un sistema?,¿Por qué se implementa control de acceso en la arquitectura?,Защо да прилагаме контроли за достъп в архитектурата?,Mimaride erişim kontrolleri neden uygulanmalı?,Waarom toegangscontrole introduceren in architectuur?,Miks juurutada arhitektuuris juurdepääsu kontrolle?
KEY_25A,To manage and restrict system entry,"Gestire/restringere accessi al sistema
",Para gestionar entradas al sistema,За управление и ограничаване на влизането в системата,Sistem girişini yönetmek ve kısıtlamak için,Toegang tot het systeem beheren en beperken,Süsteemi sisenemise haldamiseks ja piiramiseks
KEY_26,How can organizations balance security and user convenience?,In che modo le organizzazioni possono bilanciare sicurezza e comodità per l'utente?,¿Cómo pueden equilibrar las organizaciones la seguridad con la conveniencia al usuario?,Как организациите могат да балансират сигурността и удобството на потребителите?,Kuruluşlar güvenliği ve kullanıcı rahatlığını nasıl dengeleyebilir?,Hoe kunnen we balans vinden tussen beveiliging en gebruiksgemak?,Kuidas saavad organisatsioonid turvalisust ja kasutajamugavust tasakaalustada?
KEY_26A,Implement user-friendly multifactor authentication,"Implementando autenticazione multifattore user-friendly
",Implementando autenticación multifactorial de forma intuitiva,Чрез внедряването на удобно многофакторно удостоверяване,Kullanıcı dostu çok faktörlü kimlik doğrulamayı uygulayın,Gebruiksvriendelijke multi-factor authenticatie implementeren,Rakendage kasutajasõbralik mitmefaktoriline autentimine
KEY_27,Why is input validation critical in design?,Perché la convalida degli input è fondamentale nella progettazione?,¿Por qué es importante la validación de entradas en el diseño?,Защо валидирането на входа е критично при проектирането?,Giriş doğrulaması tasarımda neden kritiktir?,Waarom is invoervalidatie cruciaal bij het ontwerpen?,Miks on sisendi valideerimine disainis kriitiline?
KEY_27A,Prevents injection attacks and data tampering,"Per prevenire attacchi di injection e manipolazione di dati
",Para impedir ataques de inyección o manipulación de datos,Предотвратява атаки чрез инжектиране и подправяне на данни,Enjeksiyon saldırılarını ve veri tahrifatını önler,Voorkomt injectieaanvallen en wijziging van gegevens,Hoiab ära süstimisrünnakud ja andmete muutmise
KEY_28,How do we secure web applications?,"Come si proteggono le app web?
",¿Cómo aseguramos aplicaciones web?,Как да защитим уеб приложенията?,Web uygulamalarının güvenliğini nasıl sağlarız?,Hoe beveiligen we webapplicaties?,Kuidas me veebirakendusi turvame?
KEY_28A,"SSL, firewalls, and secure coding practices","SSL, firewall, pratiche di secure coding
","SSL, firewalls y prácticas seguras de programación","Чрез SSL, защитни стени и сигурни практики при програмиране","SSL, güvenlik duvarları ve güvenli kodlama uygulamaları","SSL, firewalls en veilige coderingspraktijken","SSL, tulemüürid ja turvalised kodeerimistavad"
KEY_29,Why are regular updates crucial in security solutions?,Perché gli aggiornamenti regolari sono cruciali nelle soluzioni di sicurezza?,¿Por qué son importantes las actualizaciones regulares en la seguridad?,Защо редовните актуализации са от решаващо значение за решенията за сигурност?,Güvenlik çözümlerinde düzenli güncellemeler neden önemlidir?,Waarom zijn regelmatige updates cruciaal voor beveiliging?,Miks on regulaarsed värskendused turvalahenduste puhul üliolulised?
KEY_29A,Patching vulnerabilities and strengthening defenses,Correggere le vulnerabilità e rafforzare le difese,Para reforzar las defensas y quitar vulnerabilidades,Поправяне на уязвимости и укрепване на защитите,Güvenlik açıklarının kapatılması ve savunmaların güçlendirilmesi,Kwetsbaarheden verhelpen en verdedigingen versterken,Haavatavuste lappimine ja kaitsevõime tugevdamine
KEY_30,Why implement Access Control Lists (ACLs)?,Perché implementare le liste di controllo degli accessi (ACL)?,¿Por qué se implementan Listas de Control de Acceso? (ACLs),Защо да прилагаме списъци за контрол на достъпа (Access Control Lists или ACL)?,Erişim Kontrol Listelerini (ACL'ler) neden uygulamalısınız?,Waarom toegangscontrolelijsten (ACL's) implementeren?,Miks rakendada juurdepääsukontrolli loendeid (ACL)?
KEY_30A,Controls permissions and restricts access,Per controllare le autorizzazioni e limitare l'accesso,Controla los permisos y restringe acceso,За контрол на разрешенията и ограничаване на достъпа,İzinleri kontrol eder ve erişimi kısıtlar,Machtigingen beheren en toegang beperken,Kontrollib õigusi ja piirab juurdepääsu
KEY_START,START,AVVIA,COMIENZA,НАЧАЛО,BAŞLA,START,START
KEY_MENU,MENU,MENU,MENÚ,МЕНЮ,MENÜ,MENU,MENÜÜ
KEY_WIN,YOU WIN!,HAI VINTO!,¡HAS GANADO!,ВИЕ СПЕЧЕЛИХТЕ!,KAZANDIN,JIJ WINT!,SINA VÕIDAD
KEY_LOSE,YOU LOSE!,HAI PERSO!,¡HAS PERDIDO!,ВИЕ ЗАГУБИХТЕ!,KAYBETTİN,JIJ VERLIEST!,SA KAOTASID
KEY_QUIT,QUIT,ESCI,SALIR,ИЗХОД,ÇIK,STOP,VÄLJA
KEY_SYS,System Integrity,Integrità di sistema,Integridad de sistema,Интегритет на системата,Sistem Bütünlüğü,Systeemintegriteit,Süsteemi terviklikkus
